config,trie_type,group_depth,pebble_block_size_kb,benchmark,run,contract,block_number,gas_used,tx_count,execution_ms,state_read_ms,state_hash_ms,commit_ms,total_ms,mgas_per_sec,accounts_read,storage_slots_read,code_read,code_bytes_read,accounts_written,accounts_deleted,storage_slots_written,storage_slots_deleted,code_written,code_bytes_written,account_cache_hits,account_cache_misses,account_cache_hit_rate,storage_cache_hits,storage_cache_misses,storage_cache_hit_rate,code_cache_hits,code_cache_misses,code_cache_hit_rate,code_cache_hit_bytes,code_cache_miss_bytes
pbt,bintrie,5,4,storage_mixed_k1,10,,4587,0,0,0.0391,2.8657,0.0044,0.1551,3.2908,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k1,10,,4588,0,0,0.0249,3.0835,0.0014,0.0882,3.4353,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k1,10,,4589,0,0,0.0269,13.6918,0.0021,0.1493,14.0279,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k1,10,,4590,91678,2,0.1045,9.777,21.1792,7.0032,38.2608,2.3961,11,0,0,0,3,0,0,0,1,303,6,5,54.55,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k1,10,,4591,5911513,1,66.8356,16.7367,3.2381,1.1223,88.1125,67.0905,8,638,2,331,3,0,96,0,0,0,4,4,50,431,207,67.55,2,0,100,331,0
pbt,bintrie,5,4,storage_mixed_k1,10,,4592,21000,1,0.0985,3.283,2.4351,0.5574,6.5188,3.2215,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k1,10,,4593,0,0,0.0295,1.1791,0.0018,0.1603,1.6137,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k1,11,,4594,0,0,0.0992,3.5107,0.0015,0.2542,4.0869,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k1,11,,4595,0,0,0.0272,2.9097,0.0014,0.1528,3.2389,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k1,11,,4596,0,0,0.029,14.8242,0.0017,0.1126,15.1503,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k1,11,,4597,91678,2,0.1131,3.2888,3.4144,5.6143,12.6394,7.2533,11,0,0,0,3,0,0,0,1,303,5,6,45.45,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k1,11,,4598,0,0,0.0349,4.2651,0.0022,0.1346,4.5683,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k1,11,,4599,5911513,1,89.2103,11.9884,6.5474,1.3543,109.4259,54.023,8,638,2,331,3,0,96,0,0,0,3,5,37.5,450,188,70.53,2,0,100,331,0
pbt,bintrie,5,4,storage_mixed_k1,11,,4600,21000,1,0.0608,2.8685,13.6493,0.588,17.3361,1.2113,6,0,0,0,2,0,0,0,0,0,2,4,33.33,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k1,11,,4601,0,0,0.0239,2.5909,0.0015,0.091,2.8368,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k1,12,,4602,0,0,0.0394,2.7757,0.0043,0.2462,3.2882,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k1,12,,4603,0,0,0.027,2.7951,0.0017,0.109,3.1188,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k1,12,,4604,0,0,0.0236,13.5875,0.0015,0.0957,13.8376,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k1,12,,4605,91678,2,0.1202,3.611,14.4239,4.5914,22.8907,4.005,11,0,0,0,3,0,0,0,1,303,7,4,63.64,0,0,0,0,0,0,0,0
pbt,bintrie,5,4,storage_mixed_k1,12,,4606,5911513,1,58.2423,9.8948,13.6178,2.3631,84.4269,70.0193,8,638,2,331,3,0,96,0,0,0,4,4,50,154,484,24.14,2,0,100,331,0
